Model,Residuals,Train_MAE,Valid_MAE,Train_R2,Valid_R2,Overfitting_Gap_%,CV_MAE,Training_Time_s,Best_Params,Best_Model,color,Numbers_of_features,Score
Linear Regression,"Id
893      -452.177223
1106   -21964.145416
414      8333.057220
523      1736.250479
1037   -28921.921671
            ...     
480    -36243.897626
1362    19992.628982
803     -4963.258068
652     -9408.655515
723      8116.902174
Name: SalePrice, Length: 292, dtype: float64",11984.451883345186,16332.940412222624,0.9387554607273166,0.9204115843036695,36.28441727001751,17959.027627480024,2.8495349884033203,{},"TransformedTargetRegressor(func=<ufunc 'log1p'>, inverse_func=<ufunc 'expm1'>,
                           regressor=Pipeline(steps=[('preprocessor',
                                                      ColumnTransformer(transformers=[('num',
                                                                                       Pipeline(steps=[('imputer',
                                                                                                        SimpleImputer()),
                                                                                                       ('scaler',
                                                                                                        StandardScaler())]),
                                                                                       ['MSSubClass',
                                                                                        'LotFrontage',
                                                                                        'LotArea',
                                                                                        'OverallQual',
                                                                                        'OverallCond',
                                                                                        'YearBuilt',
                                                                                        'YearRemodAdd',
                                                                                        'MasVnrArea',
                                                                                        'BsmtFinSF1',
                                                                                        '...
                                                                                                                   'FireplaceQu',
                                                                                                                   'MasVnrType']),
                                                                                       ['PoolQC',
                                                                                        'FireplaceQu',
                                                                                        'MasVnrType']),
                                                                                      ('presence',
                                                                                       PresenceOnlyTransformer(columns=['Fence',
                                                                                                                        'Alley',
                                                                                                                        'MiscFeature']),
                                                                                       ['Fence',
                                                                                        'Alley',
                                                                                        'MiscFeature']),
                                                                                      ('high_card',
                                                                                       FrequencyEncodeTransformer(columns=['Neighborhood',
                                                                                                                           'Exterior2nd',
                                                                                                                           'Exterior1st']),
                                                                                       ['Neighborhood',
                                                                                        'Exterior2nd',
                                                                                        'Exterior1st'])])),
                                                     ('model',
                                                      LinearRegression())]))",#1f77b4,220,22259.252663856798
Lasso,"Id
893      3318.414351
1106     6617.936034
414      6031.304821
523      3647.945619
1037   -20335.326850
            ...     
480    -25787.615319
1362    22365.273022
803    -21287.179179
652     -5610.675880
723      6059.824771
Name: SalePrice, Length: 292, dtype: float64",15284.115701193803,17139.267529669276,0.8709468466597182,0.911962603071603,12.13777666136466,18040.462065174717,1.13749098777771,"{'regressor__model__alpha': 0.001, 'regressor__model__max_iter': 500}","TransformedTargetRegressor(func=<ufunc 'log1p'>, inverse_func=<ufunc 'expm1'>,
                           regressor=Pipeline(steps=[('preprocessor',
                                                      ColumnTransformer(transformers=[('num',
                                                                                       Pipeline(steps=[('imputer',
                                                                                                        SimpleImputer()),
                                                                                                       ('scaler',
                                                                                                        StandardScaler())]),
                                                                                       ['MSSubClass',
                                                                                        'LotFrontage',
                                                                                        'LotArea',
                                                                                        'OverallQual',
                                                                                        'OverallCond',
                                                                                        'YearBuilt',
                                                                                        'YearRemodAdd',
                                                                                        'MasVnrArea',
                                                                                        'BsmtFinSF1',
                                                                                        '...
                                                                                       ['PoolQC',
                                                                                        'FireplaceQu',
                                                                                        'MasVnrType']),
                                                                                      ('presence',
                                                                                       PresenceOnlyTransformer(columns=['Fence',
                                                                                                                        'Alley',
                                                                                                                        'MiscFeature']),
                                                                                       ['Fence',
                                                                                        'Alley',
                                                                                        'MiscFeature']),
                                                                                      ('high_card',
                                                                                       FrequencyEncodeTransformer(columns=['Neighborhood',
                                                                                                                           'Exterior2nd',
                                                                                                                           'Exterior1st']),
                                                                                       ['Neighborhood',
                                                                                        'Exterior2nd',
                                                                                        'Exterior1st'])])),
                                                     ('model',
                                                      Lasso(alpha=0.001,
                                                            max_iter=500,
                                                            random_state=42))]))",#dfc73f,220,19219.593543814324
Ridge,"Id
893       705.058296
1106    10983.769481
414      2941.678448
523        31.952644
1037   -18970.025078
            ...     
480    -26338.292241
1362    21915.503736
803    -25527.671166
652     -4712.574673
723      7096.655935
Name: SalePrice, Length: 292, dtype: float64",15655.99108370289,17585.4532845505,0.8495469201889204,0.9038053732507694,12.324114075767987,18422.63522787692,1.7383949756622314,"{'regressor__model__alpha': 50.0, 'regressor__model__max_iter': 500}","TransformedTargetRegressor(func=<ufunc 'log1p'>, inverse_func=<ufunc 'expm1'>,
                           regressor=Pipeline(steps=[('preprocessor',
                                                      ColumnTransformer(transformers=[('num',
                                                                                       Pipeline(steps=[('imputer',
                                                                                                        SimpleImputer()),
                                                                                                       ('scaler',
                                                                                                        StandardScaler())]),
                                                                                       ['MSSubClass',
                                                                                        'LotFrontage',
                                                                                        'LotArea',
                                                                                        'OverallQual',
                                                                                        'OverallCond',
                                                                                        'YearBuilt',
                                                                                        'YearRemodAdd',
                                                                                        'MasVnrArea',
                                                                                        'BsmtFinSF1',
                                                                                        '...
                                                                                       ['PoolQC',
                                                                                        'FireplaceQu',
                                                                                        'MasVnrType']),
                                                                                      ('presence',
                                                                                       PresenceOnlyTransformer(columns=['Fence',
                                                                                                                        'Alley',
                                                                                                                        'MiscFeature']),
                                                                                       ['Fence',
                                                                                        'Alley',
                                                                                        'MiscFeature']),
                                                                                      ('high_card',
                                                                                       FrequencyEncodeTransformer(columns=['Neighborhood',
                                                                                                                           'Exterior2nd',
                                                                                                                           'Exterior1st']),
                                                                                       ['Neighborhood',
                                                                                        'Exterior2nd',
                                                                                        'Exterior1st'])])),
                                                     ('model',
                                                      Ridge(alpha=50.0,
                                                            max_iter=500,
                                                            random_state=42))]))",#f26c6c,220,19752.70460807939
XGBoost,"Id
893     15645.453125
1106    -7652.000000
414     -2389.320312
523      8872.093750
1037    18440.187500
            ...     
480    -30905.867188
1362    17961.937500
803      6138.390625
652    -16735.312500
723      8984.312500
Name: SalePrice, Length: 292, dtype: float64",16164.8427734375,19898.076171875,0.8541021943092346,0.807722270488739,23.09477086020316,19005.9435546875,0.3756599426269531,"{'regressor__model__colsample_bytree': 0.4, 'regressor__model__learning_rate': 0.03, 'regressor__model__max_depth': 3, 'regressor__model__min_child_weight': 10, 'regressor__model__n_estimators': 200, 'regressor__model__reg_lambda': 50.0, 'regressor__model__subsample': 0.7}","TransformedTargetRegressor(func=<ufunc 'log1p'>, inverse_func=<ufunc 'expm1'>,
                           regressor=Pipeline(steps=[('preprocessor',
                                                      ColumnTransformer(transformers=[('num',
                                                                                       Pipeline(steps=[('imputer',
                                                                                                        SimpleImputer()),
                                                                                                       ('scaler',
                                                                                                        StandardScaler())]),
                                                                                       ['MSSubClass',
                                                                                        'LotFrontage',
                                                                                        'LotArea',
                                                                                        'OverallQual',
                                                                                        'OverallCond',
                                                                                        'YearBuilt',
                                                                                        'YearRemodAdd',
                                                                                        'MasVnrArea',
                                                                                        'BsmtFinSF1',
                                                                                        '...
                                                                   feature_weights=None,
                                                                   gamma=None,
                                                                   grow_policy=None,
                                                                   importance_type=None,
                                                                   interaction_constraints=None,
                                                                   learning_rate=0.03,
                                                                   max_bin=None,
                                                                   max_cat_threshold=None,
                                                                   max_cat_to_onehot=None,
                                                                   max_delta_step=None,
                                                                   max_depth=3,
                                                                   max_leaves=None,
                                                                   min_child_weight=10,
                                                                   missing=nan,
                                                                   monotone_constraints=None,
                                                                   multi_strategy=None,
                                                                   n_estimators=200,
                                                                   n_jobs=None,
                                                                   num_parallel_tree=None, ...))]))",#461989,220,24493.491269358216
Random Forest,"Id
893     18318.958457
1106    22251.460181
414     -8980.114936
523      1953.554054
1037     5652.829773
            ...     
480    -32461.217347
1362    30066.199619
803     11688.819236
652    -28949.569826
723      6885.578283
Name: SalePrice, Length: 292, dtype: float64",16648.37007206397,20022.171021191458,0.8487586826399424,0.8123931415786765,20.26505258186648,19741.800305967765,5.338505983352661,"{'regressor__model__max_depth': 7, 'regressor__model__max_features': 0.3, 'regressor__model__min_samples_leaf': 10, 'regressor__model__min_samples_split': 40, 'regressor__model__n_estimators': 200}","TransformedTargetRegressor(func=<ufunc 'log1p'>, inverse_func=<ufunc 'expm1'>,
                           regressor=Pipeline(steps=[('preprocessor',
                                                      ColumnTransformer(transformers=[('num',
                                                                                       Pipeline(steps=[('imputer',
                                                                                                        SimpleImputer()),
                                                                                                       ('scaler',
                                                                                                        StandardScaler())]),
                                                                                       ['MSSubClass',
                                                                                        'LotFrontage',
                                                                                        'LotArea',
                                                                                        'OverallQual',
                                                                                        'OverallCond',
                                                                                        'YearBuilt',
                                                                                        'YearRemodAdd',
                                                                                        'MasVnrArea',
                                                                                        'BsmtFinSF1',
                                                                                        '...
                                                                                       PresenceOnlyTransformer(columns=['Fence',
                                                                                                                        'Alley',
                                                                                                                        'MiscFeature']),
                                                                                       ['Fence',
                                                                                        'Alley',
                                                                                        'MiscFeature']),
                                                                                      ('high_card',
                                                                                       FrequencyEncodeTransformer(columns=['Neighborhood',
                                                                                                                           'Exterior2nd',
                                                                                                                           'Exterior1st']),
                                                                                       ['Neighborhood',
                                                                                        'Exterior2nd',
                                                                                        'Exterior1st'])])),
                                                     ('model',
                                                      RandomForestRegressor(max_depth=7,
                                                                            max_features=0.3,
                                                                            min_samples_leaf=10,
                                                                            min_samples_split=40,
                                                                            n_estimators=200,
                                                                            random_state=42))]))",#70ab27,220,24079.67450666714
